        one     two   three       key
4 -0.264438 -1.026059 -0.619500    N
4 -0.264438 -1.026059 -0.619500    O 
4 -0.264438 -1.026059 -0.619500    P
0 -0.264438 -1.026059 -0.619500    A
1  0.927272  0.302904 -0.032399    B
2 -0.264273 -0.386314 -0.217601    C
3 -0.871858 -0.348382  1.100491    D
4 -0.264438 -1.026059 -0.619500    E
4 -0.264438 -1.026059 -0.619500    F
4 -0.264438 -1.026059 -0.619500    G
4 -0.264438 -1.026059 -0.619500    H
4 -0.264438 -1.026059 -0.619500    I
4 -0.264438 -1.026059 -0.619500    J
4 -0.264438 -1.026059 -0.619500    K
4 -0.264438 -1.026059 -0.619500    L
4 -0.264438 -1.026059 -0.619500    M 
4 -0.264438 -1.026059 -0.619500    N
4 -0.264438 -1.026059 -0.619500    O 
4 -0.264438 -1.026059 -0.619500    P
0 -0.264438 -1.026059 -0.619500    A
1  0.927272  0.302904 -0.032399    B
2 -0.264273 -0.386314 -0.217601    C
3 -0.871858 -0.348382  1.100491    D
4 -0.264438 -1.026059 -0.619500    E
4 -0.264438 -1.026059 -0.619500    F
4 -0.264438 -1.026059 -0.619500    G
4 -0.264438 -1.026059 -0.619500    H
4 -0.264438 -1.026059 -0.619500    I
4 -0.264438 -1.026059 -0.619500    J
4 -0.264438 -1.026059 -0.619500    K
4 -0.264438 -1.026059 -0.619500    L
4 -0.264438 -1.026059 -0.619500    M 
4 -0.264438 -1.026059 -0.619500    N
4 -0.264438 -1.026059 -0.619500    O 
4 -0.264438 -1.026059 -0.619500    P
0 -0.264438 -1.026059 -0.619500    A
1  0.927272  0.302904 -0.032399    B
2 -0.264273 -0.386314 -0.217601    C
3 -0.871858 -0.348382  1.100491    D
4 -0.264438 -1.026059 -0.619500    E
4 -0.264438 -1.026059 -0.619500    F
4 -0.264438 -1.026059 -0.619500    G
4 -0.264438 -1.026059 -0.619500    H
4 -0.264438 -1.026059 -0.619500    I
4 -0.264438 -1.026059 -0.619500    J
4 -0.264438 -1.026059 -0.619500    K
4 -0.264438 -1.026059 -0.619500    L
4 -0.264438 -1.026059 -0.619500    M 
4 -0.264438 -1.026059 -0.619500    N
4 -0.264438 -1.026059 -0.619500    O 
4 -0.264438 -1.026059 -0.619500    P
0 -0.264438 -1.026059 -0.619500    A
1  0.927272  0.302904 -0.032399    B
2 -0.264273 -0.386314 -0.217601    C
3 -0.871858 -0.348382  1.100491    D
4 -0.264438 -1.026059 -0.619500    E
4 -0.264438 -1.026059 -0.619500    F
4 -0.264438 -1.026059 -0.619500    G
4 -0.264438 -1.026059 -0.619500    H
4 -0.264438 -1.026059 -0.619500    I
4 -0.264438 -1.026059 -0.619500    J
4 -0.264438 -1.026059 -0.619500    K
4 -0.264438 -1.026059 -0.619500    L
4 -0.264438 -1.026059 -0.619500    M 
4 -0.264438 -1.026059 -0.619500    N
4 -0.264438 -1.026059 -0.619500    O 
4 -0.264438 -1.026059 -0.619500    P
0 -0.264438 -1.026059 -0.619500    A
1  0.927272  0.302904 -0.032399    B
2 -0.264273 -0.386314 -0.217601    C
3 -0.871858 -0.348382  1.100491    D
4 -0.264438 -1.026059 -0.619500    E
4 -0.264438 -1.026059 -0.619500    F
4 -0.264438 -1.026059 -0.619500    G
4 -0.264438 -1.026059 -0.619500    H
4 -0.264438 -1.026059 -0.619500    I
4 -0.264438 -1.026059 -0.619500    J
4 -0.264438 -1.026059 -0.619500    K
4 -0.264438 -1.026059 -0.619500    L
4 -0.264438 -1.026059 -0.619500    M 
4 -0.264438 -1.026059 -0.619500    N
4 -0.264438 -1.026059 -0.619500    O 
4 -0.264438 -1.026059 -0.619500    P
0 -0.264438 -1.026059 -0.619500    A
1  0.927272  0.302904 -0.032399    B
2 -0.264273 -0.386314 -0.217601    C
3 -0.871858 -0.348382  1.100491    D
4 -0.264438 -1.026059 -0.619500    E
4 -0.264438 -1.026059 -0.619500    F
4 -0.264438 -1.026059 -0.619500    G
4 -0.264438 -1.026059 -0.619500    H
4 -0.264438 -1.026059 -0.619500    I
4 -0.264438 -1.026059 -0.619500    J
4 -0.264438 -1.026059 -0.619500    K
4 -0.264438 -1.026059 -0.619500    L
4 -0.264438 -1.026059 -0.619500    M 
4 -0.264438 -1.026059 -0.619500    N
4 -0.264438 -1.026059 -0.619500    O 
4 -0.264438 -1.026059 -0.619500    P
0 -0.264438 -1.026059 -0.619500    A
1  0.927272  0.302904 -0.032399    B
2 -0.264273 -0.386314 -0.217601    C
3 -0.871858 -0.348382  1.100491    D
4 -0.264438 -1.026059 -0.619500    E
4 -0.264438 -1.026059 -0.619500    F
4 -0.264438 -1.026059 -0.619500    G
4 -0.264438 -1.026059 -0.619500    H
4 -0.264438 -1.026059 -0.619500    I
4 -0.264438 -1.026059 -0.619500    J
4 -0.264438 -1.026059 -0.619500    K
4 -0.264438 -1.026059 -0.619500    L
4 -0.264438 -1.026059 -0.619500    M 
4 -0.264438 -1.026059 -0.619500    N
4 -0.264438 -1.026059 -0.619500    O 
4 -0.264438 -1.026059 -0.619500    P
0 -0.264438 -1.026059 -0.619500    A
1  0.927272  0.302904 -0.032399    B
2 -0.264273 -0.386314 -0.217601    C
3 -0.871858 -0.348382  1.100491    D
4 -0.264438 -1.026059 -0.619500    E
4 -0.264438 -1.026059 -0.619500    F
4 -0.264438 -1.026059 -0.619500    G
4 -0.264438 -1.026059 -0.619500    H
4 -0.264438 -1.026059 -0.619500    I
4 -0.264438 -1.026059 -0.619500    J
4 -0.264438 -1.026059 -0.619500    K
4 -0.264438 -1.026059 -0.619500    L
4 -0.264438 -1.026059 -0.619500    M 
4 -0.264438 -1.026059 -0.619500    N
4 -0.264438 -1.026059 -0.619500    O 
4 -0.264438 -1.026059 -0.619500    P
0 -0.264438 -1.026059 -0.619500    A
1  0.927272  0.302904 -0.032399    B
2 -0.264273 -0.386314 -0.217601    C
3 -0.871858 -0.348382  1.100491    D
4 -0.264438 -1.026059 -0.619500    E
4 -0.264438 -1.026059 -0.619500    F
4 -0.264438 -1.026059 -0.619500    G
4 -0.264438 -1.026059 -0.619500    H
4 -0.264438 -1.026059 -0.619500    I
4 -0.264438 -1.026059 -0.619500    J
4 -0.264438 -1.026059 -0.619500    K
4 -0.264438 -1.026059 -0.619500    L
4 -0.264438 -1.026059 -0.619500    M 
4 -0.264438 -1.026059 -0.619500    N
4 -0.264438 -1.026059 -0.619500    O 
4 -0.264438 -1.026059 -0.619500    P
0 -0.264438 -1.026059 -0.619500    A
1  0.927272  0.302904 -0.032399    B
2 -0.264273 -0.386314 -0.217601    C
3 -0.871858 -0.348382  1.100491    D
4 -0.264438 -1.026059 -0.619500    E
4 -0.264438 -1.026059 -0.619500    F
4 -0.264438 -1.026059 -0.619500    G
4 -0.264438 -1.026059 -0.619500    H
4 -0.264438 -1.026059 -0.619500    I
4 -0.264438 -1.026059 -0.619500    J
4 -0.264438 -1.026059 -0.619500    K
4 -0.264438 -1.026059 -0.619500    L
4 -0.264438 -1.026059 -0.619500    M 
4 -0.264438 -1.026059 -0.619500    N
4 -0.264438 -1.026059 -0.619500    O 
4 -0.264438 -1.026059 -0.619500    P
0 -0.264438 -1.026059 -0.619500    A
1  0.927272  0.302904 -0.032399    B
2 -0.264273 -0.386314 -0.217601    C
3 -0.871858 -0.348382  1.100491    D
4 -0.264438 -1.026059 -0.619500    E
4 -0.264438 -1.026059 -0.619500    F
4 -0.264438 -1.026059 -0.619500    G
4 -0.264438 -1.026059 -0.619500    H
4 -0.264438 -1.026059 -0.619500    I
4 -0.264438 -1.026059 -0.619500    J
4 -0.264438 -1.026059 -0.619500    K
4 -0.264438 -1.026059 -0.619500    L
4 -0.264438 -1.026059 -0.619500    M 
4 -0.264438 -1.026059 -0.619500    N
4 -0.264438 -1.026059 -0.619500    O 
4 -0.264438 -1.026059 -0.619500    P
0 -0.264438 -1.026059 -0.619500    A
1  0.927272  0.302904 -0.032399    B
2 -0.264273 -0.386314 -0.217601    C
3 -0.871858 -0.348382  1.100491    D
4 -0.264438 -1.026059 -0.619500    E
4 -0.264438 -1.026059 -0.619500    F
4 -0.264438 -1.026059 -0.619500    G
4 -0.264438 -1.026059 -0.619500    H
4 -0.264438 -1.026059 -0.619500    I
4 -0.264438 -1.026059 -0.619500    J
4 -0.264438 -1.026059 -0.619500    K
4 -0.264438 -1.026059 -0.619500    L
4 -0.264438 -1.026059 -0.619500    M 
4 -0.264438 -1.026059 -0.619500    N
4 -0.264438 -1.026059 -0.619500    O 
4 -0.264438 -1.026059 -0.619500    P
0 -0.264438 -1.026059 -0.619500    A
1  0.927272  0.302904 -0.032399    B
2 -0.264273 -0.386314 -0.217601    C
3 -0.871858 -0.348382  1.100491    D
4 -0.264438 -1.026059 -0.619500    E
4 -0.264438 -1.026059 -0.619500    F
4 -0.264438 -1.026059 -0.619500    G
4 -0.264438 -1.026059 -0.619500    H
4 -0.264438 -1.026059 -0.619500    I
4 -0.264438 -1.026059 -0.619500    J
4 -0.264438 -1.026059 -0.619500    K
4 -0.264438 -1.026059 -0.619500    L
4 -0.264438 -1.026059 -0.619500    M 
4 -0.264438 -1.026059 -0.619500    N
4 -0.264438 -1.026059 -0.619500    O 
4 -0.264438 -1.026059 -0.619500    P
0 -0.264438 -1.026059 -0.619500    A
1  0.927272  0.302904 -0.032399    B
2 -0.264273 -0.386314 -0.217601    C
3 -0.871858 -0.348382  1.100491    D
4 -0.264438 -1.026059 -0.619500    E
4 -0.264438 -1.026059 -0.619500    F
4 -0.264438 -1.026059 -0.619500    G
4 -0.264438 -1.026059 -0.619500    H
4 -0.264438 -1.026059 -0.619500    I
4 -0.264438 -1.026059 -0.619500    J
4 -0.264438 -1.026059 -0.619500    K
4 -0.264438 -1.026059 -0.619500    L
4 -0.264438 -1.026059 -0.619500    M 
4 -0.264438 -1.026059 -0.619500    N
4 -0.264438 -1.026059 -0.619500    O 
4 -0.264438 -1.026059 -0.619500    P
0 -0.264438 -1.026059 -0.619500    A
1  0.927272  0.302904 -0.032399    B
2 -0.264273 -0.386314 -0.217601    C
3 -0.871858 -0.348382  1.100491    D
4 -0.264438 -1.026059 -0.619500    E
4 -0.264438 -1.026059 -0.619500    F
4 -0.264438 -1.026059 -0.619500    G
4 -0.264438 -1.026059 -0.619500    H
4 -0.264438 -1.026059 -0.619500    I
4 -0.264438 -1.026059 -0.619500    J
4 -0.264438 -1.026059 -0.619500    K
4 -0.264438 -1.026059 -0.619500    L
4 -0.264438 -1.026059 -0.619500    M 
4 -0.264438 -1.026059 -0.619500    N
4 -0.264438 -1.026059 -0.619500    O 
4 -0.264438 -1.026059 -0.619500    P
0 -0.264438 -1.026059 -0.619500    A
1  0.927272  0.302904 -0.032399    B
2 -0.264273 -0.386314 -0.217601    C
3 -0.871858 -0.348382  1.100491    D
4 -0.264438 -1.026059 -0.619500    E
4 -0.264438 -1.026059 -0.619500    F
4 -0.264438 -1.026059 -0.619500    G
4 -0.264438 -1.026059 -0.619500    H
4 -0.264438 -1.026059 -0.619500    I
4 -0.264438 -1.026059 -0.619500    J
4 -0.264438 -1.026059 -0.619500    K
4 -0.264438 -1.026059 -0.619500    L
4 -0.264438 -1.026059 -0.619500    M 
4 -0.264438 -1.026059 -0.619500    N
4 -0.264438 -1.026059 -0.619500    O 
4 -0.264438 -1.026059 -0.619500    P
0 -0.264438 -1.026059 -0.619500    A
1  0.927272  0.302904 -0.032399    B
2 -0.264273 -0.386314 -0.217601    C
3 -0.871858 -0.348382  1.100491    D
4 -0.264438 -1.026059 -0.619500    E
4 -0.264438 -1.026059 -0.619500    F
4 -0.264438 -1.026059 -0.619500    G
4 -0.264438 -1.026059 -0.619500    H
4 -0.264438 -1.026059 -0.619500    I
4 -0.264438 -1.026059 -0.619500    J
4 -0.264438 -1.026059 -0.619500    K
4 -0.264438 -1.026059 -0.619500    L
4 -0.264438 -1.026059 -0.619500    M 
4 -0.264438 -1.026059 -0.619500    N
4 -0.264438 -1.026059 -0.619500    O 
4 -0.264438 -1.026059 -0.619500    P
0 -0.264438 -1.026059 -0.619500    A
1  0.927272  0.302904 -0.032399    B
2 -0.264273 -0.386314 -0.217601    C
3 -0.871858 -0.348382  1.100491    D
4 -0.264438 -1.026059 -0.619500    E
4 -0.264438 -1.026059 -0.619500    F
4 -0.264438 -1.026059 -0.619500    G
4 -0.264438 -1.026059 -0.619500    H
4 -0.264438 -1.026059 -0.619500    I
4 -0.264438 -1.026059 -0.619500    J
4 -0.264438 -1.026059 -0.619500    K
4 -0.264438 -1.026059 -0.619500    L
4 -0.264438 -1.026059 -0.619500    M 
4 -0.264438 -1.026059 -0.619500    N
4 -0.264438 -1.026059 -0.619500    O 
4 -0.264438 -1.026059 -0.619500    P
0 -0.264438 -1.026059 -0.619500    A
1  0.927272  0.302904 -0.032399    B
2 -0.264273 -0.386314 -0.217601    C
3 -0.871858 -0.348382  1.100491    D
4 -0.264438 -1.026059 -0.619500    E
4 -0.264438 -1.026059 -0.619500    F
4 -0.264438 -1.026059 -0.619500    G
4 -0.264438 -1.026059 -0.619500    H
4 -0.264438 -1.026059 -0.619500    I
4 -0.264438 -1.026059 -0.619500    J
4 -0.264438 -1.026059 -0.619500    K
4 -0.264438 -1.026059 -0.619500    L
4 -0.264438 -1.026059 -0.619500    M 
4 -0.264438 -1.026059 -0.619500    N
4 -0.264438 -1.026059 -0.619500    O 
4 -0.264438 -1.026059 -0.619500    P
0 -0.264438 -1.026059 -0.619500    A
1  0.927272  0.302904 -0.032399    B
2 -0.264273 -0.386314 -0.217601    C
3 -0.871858 -0.348382  1.100491    D
4 -0.264438 -1.026059 -0.619500    E
4 -0.264438 -1.026059 -0.619500    F
4 -0.264438 -1.026059 -0.619500    G
4 -0.264438 -1.026059 -0.619500    H
4 -0.264438 -1.026059 -0.619500    I
4 -0.264438 -1.026059 -0.619500    J
4 -0.264438 -1.026059 -0.619500    K
4 -0.264438 -1.026059 -0.619500    L
4 -0.264438 -1.026059 -0.619500    M 
4 -0.264438 -1.026059 -0.619500    N
4 -0.264438 -1.026059 -0.619500    O 
4 -0.264438 -1.026059 -0.619500    P
0 -0.264438 -1.026059 -0.619500    A
1  0.927272  0.302904 -0.032399    B
2 -0.264273 -0.386314 -0.217601    C
3 -0.871858 -0.348382  1.100491    D
4 -0.264438 -1.026059 -0.619500    E
4 -0.264438 -1.026059 -0.619500    F
4 -0.264438 -1.026059 -0.619500    G
4 -0.264438 -1.026059 -0.619500    H
4 -0.264438 -1.026059 -0.619500    I
4 -0.264438 -1.026059 -0.619500    J
4 -0.264438 -1.026059 -0.619500    K
4 -0.264438 -1.026059 -0.619500    L
4 -0.264438 -1.026059 -0.619500    M 
4 -0.264438 -1.026059 -0.619500    N
4 -0.264438 -1.026059 -0.619500    O 
4 -0.264438 -1.026059 -0.619500    P
0 -0.264438 -1.026059 -0.619500    A
1  0.927272  0.302904 -0.032399    B
2 -0.264273 -0.386314 -0.217601    C
3 -0.871858 -0.348382  1.100491    D
4 -0.264438 -1.026059 -0.619500    E
4 -0.264438 -1.026059 -0.619500    F
4 -0.264438 -1.026059 -0.619500    G
4 -0.264438 -1.026059 -0.619500    H
4 -0.264438 -1.026059 -0.619500    I
4 -0.264438 -1.026059 -0.619500    J
4 -0.264438 -1.026059 -0.619500    K
4 -0.264438 -1.026059 -0.619500    L
4 -0.264438 -1.026059 -0.619500    M 
4 -0.264438 -1.026059 -0.619500    N
4 -0.264438 -1.026059 -0.619500    O 
4 -0.264438 -1.026059 -0.619500    P
0 -0.264438 -1.026059 -0.619500    A
1  0.927272  0.302904 -0.032399    B
2 -0.264273 -0.386314 -0.217601    C
3 -0.871858 -0.348382  1.100491    D
4 -0.264438 -1.026059 -0.619500    E
4 -0.264438 -1.026059 -0.619500    F
4 -0.264438 -1.026059 -0.619500    G
4 -0.264438 -1.026059 -0.619500    H
4 -0.264438 -1.026059 -0.619500    I
4 -0.264438 -1.026059 -0.619500    J
4 -0.264438 -1.026059 -0.619500    K
4 -0.264438 -1.026059 -0.619500    L
4 -0.264438 -1.026059 -0.619500    M 
4 -0.264438 -1.026059 -0.619500    N
4 -0.264438 -1.026059 -0.619500    O 
4 -0.264438 -1.026059 -0.619500    P
0 -0.264438 -1.026059 -0.619500    A
1  0.927272  0.302904 -0.032399    B
2 -0.264273 -0.386314 -0.217601    C
3 -0.871858 -0.348382  1.100491    D
4 -0.264438 -1.026059 -0.619500    E
4 -0.264438 -1.026059 -0.619500    F
4 -0.264438 -1.026059 -0.619500    G
4 -0.264438 -1.026059 -0.619500    H
4 -0.264438 -1.026059 -0.619500    I
4 -0.264438 -1.026059 -0.619500    J
4 -0.264438 -1.026059 -0.619500    K
4 -0.264438 -1.026059 -0.619500    L
4 -0.264438 -1.026059 -0.619500    M 
4 -0.264438 -1.026059 -0.619500    N
4 -0.264438 -1.026059 -0.619500    O 
4 -0.264438 -1.026059 -0.619500    P
0 -0.264438 -1.026059 -0.619500    A
1  0.927272  0.302904 -0.032399    B
2 -0.264273 -0.386314 -0.217601    C
3 -0.871858 -0.348382  1.100491    D
4 -0.264438 -1.026059 -0.619500    E
4 -0.264438 -1.026059 -0.619500    F
4 -0.264438 -1.026059 -0.619500    G
4 -0.264438 -1.026059 -0.619500    H
4 -0.264438 -1.026059 -0.619500    I
4 -0.264438 -1.026059 -0.619500    J
4 -0.264438 -1.026059 -0.619500    K
4 -0.264438 -1.026059 -0.619500    L
4 -0.264438 -1.026059 -0.619500    M 
4 -0.264438 -1.026059 -0.619500    N
4 -0.264438 -1.026059 -0.619500    O 
4 -0.264438 -1.026059 -0.619500    P
0 -0.264438 -1.026059 -0.619500    A
1  0.927272  0.302904 -0.032399    B
2 -0.264273 -0.386314 -0.217601    C
3 -0.871858 -0.348382  1.100491    D
4 -0.264438 -1.026059 -0.619500    E
4 -0.264438 -1.026059 -0.619500    F
4 -0.264438 -1.026059 -0.619500    G
4 -0.264438 -1.026059 -0.619500    H
4 -0.264438 -1.026059 -0.619500    I
4 -0.264438 -1.026059 -0.619500    J
4 -0.264438 -1.026059 -0.619500    K
4 -0.264438 -1.026059 -0.619500    L
4 -0.264438 -1.026059 -0.619500    M 
4 -0.264438 -1.026059 -0.619500    N
4 -0.264438 -1.026059 -0.619500    O 
4 -0.264438 -1.026059 -0.619500    P
0 -0.264438 -1.026059 -0.619500    A
1  0.927272  0.302904 -0.032399    B
2 -0.264273 -0.386314 -0.217601    C
3 -0.871858 -0.348382  1.100491    D
4 -0.264438 -1.026059 -0.619500    E
4 -0.264438 -1.026059 -0.619500    F
4 -0.264438 -1.026059 -0.619500    G
4 -0.264438 -1.026059 -0.619500    H
4 -0.264438 -1.026059 -0.619500    I
4 -0.264438 -1.026059 -0.619500    J
4 -0.264438 -1.026059 -0.619500    K
4 -0.264438 -1.026059 -0.619500    L
4 -0.264438 -1.026059 -0.619500    M 
4 -0.264438 -1.026059 -0.619500    N
4 -0.264438 -1.026059 -0.619500    O 
4 -0.264438 -1.026059 -0.619500    P
